trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
741,False,"{'a': 0.005, 'e': 0.024600217367638302}",20,7,27.825681214785934,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
742,False,"{'a': 0.005, 'e': 0.02447752327165267}",25,6,-12.096611244684691,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
743,False,"{'a': 0.005, 'e': 0.024355441115023704}",25,18,10.387655120388748,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
744,False,"{'a': 0.005, 'e': 0.024233967845691113}",20,16,5.9361654006867015,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
745,False,"{'a': 0.005, 'e': 0.024113100426816865}",20,14,11.228224148361255,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
746,False,"{'a': 0.005, 'e': 0.023992835836709175}",20,7,23.753403187575852,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
747,False,"{'a': 0.005, 'e': 0.023873171068747034}",20,15,10.179581600753501,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
748,False,"{'a': 0.005, 'e': 0.023754103131304997}",30,20,18.135318545726697,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
749,False,"{'a': 0.005, 'e': 0.023635629047678443}",30,16,21.860692107626008,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
750,False,"{'a': 0.005, 'e': 0.023517745856009107}",30,15,25.76256416579542,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
751,False,"{'a': 0.005, 'e': 0.023400450609211056}",30,16,27.32543102553241,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
752,False,"{'a': 0.005, 'e': 0.023283740374897}",25,10,25.1602317644737,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
753,False,"{'a': 0.005, 'e': 0.02316761223530502}",25,10,24.154951549485077,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
